Year,Location,Type,Average price,Average price(m2)
2023,Catalonia,New,"301,498.27","3,187.00"
2023,Catalonia,Second hand,"187,228.82","2,204.90"
2023, Valencian Community,New,"237,943.70","2,405.96"
2023, Valencian Community,Second hand,"116,955.72","1,271.82"
2023,Extremadura,New,"102,305.38",695.55
2023,Extremadura,Second hand,"87,218.07",745.99
2023,Galicia,New,"178,416.00","1,915.86"
2023,Galicia,Second hand,"114,309.57","1,239.03"
2023,Madrid,New,"388,206.10","3,205.32"
2023,Madrid,Second hand,"273,131.09","3,014.93"
2023,Murcia,New,"170,055.89","1,616.11"
2023,Murcia,Second hand,"92,871.14",969.73
2023,Navarra,New,"261,188.47","3,225.32"
2023,Navarra,Second hand,"152,807.70","1,716.09"
2023,Basque Country,New,"292,248.25","3,291.19"
2023,Basque Country,Second hand,"215,989.71","2,664.45"
2023,Rioja (La),New,"203,246.56","1,852.99"
2023,Rioja (La),Second hand,"105,395.81","1,018.66"
