"
Autonomous communities",Gender,Measurements and percentiles,Year,Total
Castilla y Leon,Both genders,Average,2019,"22.061,44"
Castilla y Leon,Both genders,Average,2018,"22.034,53"
Castilla y Leon,Both genders,Average,2017,"21.846,88"
Castilla y Leon,Both genders,Average,2016,"21.551,57"
Castilla y Leon,Both genders,Average,2015,"21.296,10"
Castilla y Leon,Both genders,Average,2014,"20.524,83"
Castilla y Leon,Both genders,Average,2013,"20.440,56"
Castilla y Leon,Both genders,Average,2012,"20.569,14"
Castilla y Leon,Both genders,Average,2011,"21.029,37"
Castilla y Leon,Both genders,Average,2010,"20.960,87"
Castilla y Leon,Both genders,Average,2009,"21.037,13"
Castilla y Leon,Both genders,Average,2008,"20.218,21"
Castilla y Leon,Both genders,Median,2021,"20.343,86"
Castilla y Leon,Both genders,Median,2020,"19.713,12"
Castilla y Leon,Both genders,Median,2019,"19.152,61"
Castilla y Leon,Both genders,Median,2018,"19.057,88"
Castilla y Leon,Both genders,Median,2017,"18.672,47"
Castilla y Leon,Both genders,Median,2016,"18.594,84"
Castilla y Leon,Both genders,Median,2015,"18.381,52"
Castilla y Leon,Both genders,Median,2014,"17.687,69"
Castilla y Leon,Both genders,Median,2013,"17.557,96"
Castilla y Leon,Both genders,Median,2012,"17.465,56"
Castilla y Leon,Both genders,Median,2011,"17.971,26"
Castilla y Leon,Both genders,Median,2010,"17.669,77"
Castilla y Leon,Both genders,Median,2009,"17.577,20"
Castilla y Leon,Both genders,Median,2008,"17.246,99"
Castilla y Leon, Women,Average,2021,"20.795,39"
Castilla y Leon, Women,Average,2020,"20.314,96"
Castilla y Leon, Women,Average,2019,"19.414,11"
Castilla y Leon, Women,Average,2018,"19.056,53"
Castilla y Leon, Women,Average,2017,"18.796,93"
Castilla y Leon, Women,Average,2016,"18.662,42"
Castilla y Leon, Women,Average,2015,"18.523,74"
Castilla y Leon, Women,Average,2014,"17.682,88"
Castilla y Leon, Women,Average,2013,"17.429,41"
Castilla y Leon, Women,Average,2012,"17.552,07"
Castilla y Leon, Women,Average,2011,"18.193,91"
Castilla y Leon, Women,Average,2010,"17.683,88"
Castilla y Leon, Women,Average,2009,"18.249,87"
Castilla y Leon, Women,Average,2008,"17.573,56"
Castilla y Leon, Women,Median,2021,"17.479,26"
Castilla y Leon, Women,Median,2020,"17.000,04"
Castilla y Leon, Women,Median,2019,"16.352,32"
Castilla y Leon, Women,Median,2018,"16.689,49"
Castilla y Leon, Women,Median,2017,"15.985,41"
Castilla y Leon, Women,Median,2016,"15.916,57"
Castilla y Leon, Women,Median,2015,"15.806,28"
Castilla y Leon, Women,Median,2014,"15.269,56"
Castilla y Leon, Women,Median,2013,"15.087,95"
Castilla y Leon, Women,Median,2012,"15.275,45"
Castilla y Leon, Women,Median,2011,"15.805,06"
Castilla y Leon, Women,Median,2010,"15.103,16"
Castilla y Leon, Women,Median,2009,"15.309,12"
Castilla y Leon, Women,Median,2008,"14.817,65"
Castilla y Leon,Men,Average,2021,"26.263,49"
Castilla y Leon,Men,Average,2020,"25.549,98"
Castilla y Leon,Men,Average,2019,"24.665,79"
Castilla y Leon,Men,Average,2018,"24.714,04"
Castilla y Leon,Men,Average,2017,"24.782,80"
Castilla y Leon,Men,Average,2016,"24.445,65"
Castilla y Leon,Men,Average,2015,"24.135,64"
Castilla y Leon,Men,Average,2014,"22.904,80"
Castilla y Leon,Men,Average,2013,"23.379,00"
Castilla y Leon,Men,Average,2012,"23.473,82"
Castilla y Leon,Men,Average,2011,"23.482,58"
Castilla y Leon,Men,Average,2010,"23.640,67"
Castilla y Leon,Men,Average,2009,"23.116,47"
Castilla y Leon,Men,Average,2008,"22.117,28"
Castilla y Leon,Men,Median,2021,"22.476,57"
Castilla y Leon,Men,Median,2020,"21.457,67"
Castilla y Leon,Men,Median,2019,"21.042,97"
Castilla y Leon,Men,Median,2018,"20.956,83"
Castilla y Leon,Men,Median,2017,"21.162,75"
Castilla y Leon,Men,Median,2016,"20.596,75"
Castilla y Leon,Men,Median,2015,"20.548,94"
Castilla y Leon,Men,Median,2014,"19.479,68"
Castilla y Leon,Men,Median,2013,"19.873,03"
Castilla y Leon,Men,Median,2012,"19.680,54"
Castilla y Leon,Men,Median,2011,"19.891,88"
Castilla y Leon,Men,Median,2010,"19.553,56"
Castilla y Leon,Men,Median,2009,"19.133,17"
Castilla y Leon,Men,Median,2008,"18.663,75"
Castilla - La Mancha,Both genders,Average,2021,"23.234,55"
Castilla - La Mancha,Both genders,Average,2020,"22.575,01"
Castilla - La Mancha,Both genders,Average,2019,"21.908,92"
Castilla - La Mancha,Both genders,Average,2018,"21.756,38"
Castilla - La Mancha,Both genders,Average,2017,"21.033,32"
Castilla - La Mancha,Both genders,Average,2016,"20.825,87"
Castilla - La Mancha,Both genders,Average,2015,"20.670,55"
Castilla - La Mancha,Both genders,Average,2014,"20.644,88"
Castilla - La Mancha,Both genders,Average,2013,"20.630,07"
Castilla - La Mancha,Both genders,Average,2012,"20.536,42"
Castilla - La Mancha,Both genders,Average,2011,"20.664,90"
Castilla - La Mancha,Both genders,Average,2010,"20.363,01"
Castilla - La Mancha,Both genders,Average,2009,"20.228,79"
Castilla - La Mancha,Both genders,Average,2008,"19.736,37"
Castilla - La Mancha,Both genders,Median,2021,"19.671,51"
Castilla - La Mancha,Both genders,Median,2020,"18.995,00"
Castilla - La Mancha,Both genders,Median,2019,"18.618,90"
Castilla - La Mancha,Both genders,Median,2018,"18.533,67"
Castilla - La Mancha,Both genders,Median,2017,"17.735,19"
Castilla - La Mancha,Both genders,Median,2016,"17.874,62"
Castilla - La Mancha,Both genders,Median,2015,"17.741,88"
Castilla - La Mancha,Both genders,Median,2014,"17.912,98"
Castilla - La Mancha,Both genders,Median,2013,"17.443,75"
Castilla - La Mancha,Both genders,Median,2012,"17.300,72"
Castilla - La Mancha,Both genders,Median,2011,"17.850,54"
Castilla - La Mancha,Both genders,Median,2010,"17.378,84"
Castilla - La Mancha,Both genders,Median,2009,"17.069,99"
Castilla - La Mancha,Both genders,Median,2008,"16.581,33"
Castilla - La Mancha, Women,Average,2021,"21.154,58"
Castilla - La Mancha, Women,Average,2020,"20.761,55"
Castilla - La Mancha, Women,Average,2019,"19.939,58"
Castilla - La Mancha, Women,Average,2018,"19.088,87"
Castilla - La Mancha, Women,Average,2017,"18.327,35"
Castilla - La Mancha, Women,Average,2016,"18.213,71"
Castilla - La Mancha, Women,Average,2015,"18.097,55"
Castilla - La Mancha, Women,Average,2014,"18.157,02"
Castilla - La Mancha, Women,Average,2013,"17.481,02"
Castilla - La Mancha, Women,Average,2012,"17.527,30"
Castilla - La Mancha, Women,Average,2011,"18.001,99"
Castilla - La Mancha, Women,Average,2010,"17.913,00"
Castilla - La Mancha, Women,Average,2009,"17.709,92"
Castilla - La Mancha, Women,Average,2008,"17.562,94"
Castilla - La Mancha, Women,Median,2021,"17.580,04"
Castilla - La Mancha, Women,Median,2020,"17.037,62"
Castilla - La Mancha, Women,Median,2019,"16.554,60"
Castilla - La Mancha, Women,Median,2018,"15.751,20"
Castilla - La Mancha, Women,Median,2017,"15.130,60"
Castilla - La Mancha, Women,Median,2016,"15.670,87"
Castilla - La Mancha, Women,Median,2015,"15.566,10"
Castilla - La Mancha, Women,Median,2014,"15.860,40"
Castilla - La Mancha, Women,Median,2013,"15.206,58"
Castilla - La Mancha, Women,Median,2012,"14.956,86"
Castilla - La Mancha, Women,Median,2011,"16.092,70"
Castilla - La Mancha, Women,Median,2010,"15.059,88"
Castilla - La Mancha, Women,Median,2009,"15.057,50"
Castilla - La Mancha, Women,Median,2008,"14.887,81"
Castilla - La Mancha,Men,Average,2021,"24.897,33"
Castilla - La Mancha,Men,Average,2020,"24.029,31"
Castilla - La Mancha,Men,Average,2019,"23.494,17"
Castilla - La Mancha,Men,Average,2018,"23.960,10"
Castilla - La Mancha,Men,Average,2017,"23.160,99"
Castilla - La Mancha,Men,Average,2016,"22.871,41"
Castilla - La Mancha,Men,Average,2015,"22.765,56"
Castilla - La Mancha,Men,Average,2014,"22.719,35"
Castilla - La Mancha,Men,Average,2013,"23.316,59"
Castilla - La Mancha,Men,Average,2012,"22.810,39"
Castilla - La Mancha,Men,Average,2011,"22.771,53"
Castilla - La Mancha,Men,Average,2010,"22.292,84"
Castilla - La Mancha,Men,Average,2009,"21.980,61"
Castilla - La Mancha,Men,Average,2008,"21.141,95"
Castilla - La Mancha,Men,Median,2021,"20.970,07"
Castilla - La Mancha,Men,Median,2020,"20.048,87"
Castilla - La Mancha,Men,Median,2019,"19.757,49"
Castilla - La Mancha,Men,Median,2018,"20.042,00"
Castilla - La Mancha,Men,Median,2017,"19.295,42"
Castilla - La Mancha,Men,Median,2016,"19.380,27"
Castilla - La Mancha,Men,Median,2015,"19.305,70"
Castilla - La Mancha,Men,Median,2014,"19.137,20"
Castilla - La Mancha,Men,Median,2013,"19.200,00"
Castilla - La Mancha,Men,Median,2012,"18.780,36"
Castilla - La Mancha,Men,Median,2011,"19.145,12"
Castilla - La Mancha,Men,Median,2010,"18.649,80"
Castilla - La Mancha,Men,Median,2009,"18.001,50"
Castilla - La Mancha,Men,Median,2008,"17.456,35"
Catalonia,Both genders,Average,2021,"28.145,02"
Catalonia,Both genders,Average,2020,"27.100,11"
Catalonia,Both genders,Average,2019,"25.968,20"
Catalonia,Both genders,Average,2018,"25.552,84"
Catalonia,Both genders,Average,2017,"25.180,45"
Catalonia,Both genders,Average,2016,"24.454,64"
Catalonia,Both genders,Average,2015,"24.321,57"
Catalonia,Both genders,Average,2014,"23.927,17"
Catalonia,Both genders,Average,2013,"24.253,73"
Catalonia,Both genders,Average,2012,"24.436,39"
Catalonia,Both genders,Average,2011,"24.499,32"
Catalonia,Both genders,Average,2010,"24.449,19"
Catalonia,Both genders,Average,2009,"23.851,31"
Catalonia,Both genders,Average,2008,"23.375,54"
Catalonia,Both genders,Median,2021,"23.962,36"
Catalonia,Both genders,Median,2020,"23.184,02"
Catalonia,Both genders,Median,2019,"22.319,40"
Catalonia,Both genders,Median,2018,"22.151,28"
Catalonia,Both genders,Median,2017,"21.719,75"
Catalonia,Both genders,Median,2016,"21.188,49"
Catalonia,Both genders,Median,2015,"20.972,14"
Catalonia,Both genders,Median,2014,"20.601,39"
Catalonia,Both genders,Median,2013,"20.763,38"
Catalonia,Both genders,Median,2012,"20.991,85"
Catalonia,Both genders,Median,2011,"21.249,33"
Catalonia,Both genders,Median,2010,"20.851,50"
Catalonia,Both genders,Median,2009,"20.633,92"
Catalonia,Both genders,Median,2008,"19.904,44"
Catalonia, Women,Average,2021,"25.015,94"
Catalonia, Women,Average,2020,"24.096,69"
Catalonia, Women,Average,2019,"22.988,22"
Catalonia, Women,Average,2018,"22.289,90"
Catalonia, Women,Average,2017,"21.801,47"
Catalonia, Women,Average,2016,"21.110,34"
Catalonia, Women,Average,2015,"20.946,56"
Catalonia, Women,Average,2014,"20.324,88"
Catalonia, Women,Average,2013,"20.740,55"
Catalonia, Women,Average,2012,"20.931,07"
Catalonia, Women,Average,2011,"20.799,94"
Catalonia, Women,Average,2010,"21.042,14"
Catalonia, Women,Average,2009,"20.467,14"
Catalonia, Women,Average,2008,"19.928,48"
Catalonia, Women,Median,2021,"21.087,54"
Catalonia, Women,Median,2020,"20.385,64"
Catalonia, Women,Median,2019,"19.750,00"
Catalonia, Women,Median,2018,"18.929,02"
Catalonia, Women,Median,2017,"18.865,83"
Catalonia, Women,Median,2016,"18.372,96"
Catalonia, Women,Median,2015,"18.088,32"
Catalonia, Women,Median,2014,"17.964,44"
Catalonia, Women,Median,2013,"17.962,12"
Catalonia, Women,Median,2012,"18.049,47"
Catalonia, Women,Median,2011,"18.209,10"
Catalonia, Women,Median,2010,"18.016,02"
Catalonia, Women,Median,2009,"17.630,34"
Catalonia, Women,Median,2008,"16.949,36"
Catalonia,Men,Average,2021,"31.212,67"
Catalonia,Men,Average,2020,"30.003,62"
Catalonia,Men,Average,2019,"28.965,38"
Catalonia,Men,Average,2018,"28.640,23"
Catalonia,Men,Average,2017,"28.323,31"
Catalonia,Men,Average,2016,"27.572,76"
Catalonia,Men,Average,2015,"27.514,06"
Catalonia,Men,Average,2014,"27.447,71"
Catalonia,Men,Average,2013,"27.684,30"
Catalonia,Men,Average,2012,"27.836,40"
Catalonia,Men,Average,2011,"28.025,61"
Catalonia,Men,Average,2010,"27.601,02"
Catalonia,Men,Average,2009,"26.901,30"
Catalonia,Men,Average,2008,"26.353,89"
Catalonia,Men,Median,2021,"26.477,82"
Catalonia,Men,Median,2020,"25.514,32"
Catalonia,Men,Median,2019,"24.775,69"
Catalonia,Men,Median,2018,"24.831,22"
Catalonia,Men,Median,2017,"24.473,89"
Catalonia,Men,Median,2016,"24.050,27"
Catalonia,Men,Median,2015,"23.738,27"
Catalonia,Men,Median,2014,"23.715,30"
Catalonia,Men,Median,2013,"23.922,50"
Catalonia,Men,Median,2012,"24.001,24"
Catalonia,Men,Median,2011,"24.093,65"
Catalonia,Men,Median,2010,"23.488,62"
Catalonia,Men,Median,2009,"23.196,66"
Catalonia,Men,Median,2008,"22.477,59"
Valencian Community,Both genders,Average,2021,"23.448,29"
Valencian Community,Both genders,Average,2020,"22.856,70"
Valencian Community,Both genders,Average,2019,"22.045,66"
Valencian Community,Both genders,Average,2018,"22.121,05"
Valencian Community,Both genders,Average,2017,"21.362,39"
Valencian Community,Both genders,Average,2016,"21.168,81"
Valencian Community,Both genders,Average,2015,"20.935,41"
Valencian Community,Both genders,Average,2014,"20.639,58"
Valencian Community,Both genders,Average,2013,"20.878,02"
Valencian Community,Both genders,Average,2012,"21.223,72"
Valencian Community,Both genders,Average,2011,"21.316,34"
Valencian Community,Both genders,Average,2010,"20.707,24"
Valencian Community,Both genders,Average,2009,"20.489,79"
Valencian Community,Both genders,Average,2008,"19.793,62"
Valencian Community,Both genders,Median,2021,"19.842,63"
Valencian Community,Both genders,Median,2020,"19.108,09"
Valencian Community,Both genders,Median,2019,"18.650,01"
Valencian Community,Both genders,Median,2018,"18.887,40"
Valencian Community,Both genders,Median,2017,"18.310,86"
Valencian Community,Both genders,Median,2016,"18.008,49"
Valencian Community,Both genders,Median,2015,"18.000,00"
Valencian Community,Both genders,Median,2014,"17.856,70"
Valencian Community,Both genders,Median,2013,"17.865,28"
Valencian Community,Both genders,Median,2012,"18.074,33"
Valencian Community,Both genders,Median,2011,"18.137,57"
Valencian Community,Both genders,Median,2010,"17.483,64"
Valencian Community,Both genders,Median,2009,"17.429,24"
Valencian Community,Both genders,Median,2008,"16.863,72"
Valencian Community, Women,Average,2021,"20.670,50"
Valencian Community, Women,Average,2020,"20.165,73"
Valencian Community, Women,Average,2019,"19.314,58"
Valencian Community, Women,Average,2018,"19.235,72"
Valencian Community, Women,Average,2017,"18.523,81"
Valencian Community, Women,Average,2016,"18.349,52"
Valencian Community, Women,Average,2015,"17.811,38"
Valencian Community, Women,Average,2014,"17.511,66"
Valencian Community, Women,Average,2013,"17.918,36"
Valencian Community, Women,Average,2012,"17.870,88"
Valencian Community, Women,Average,2011,"18.052,49"
Valencian Community, Women,Average,2010,"17.776,59"
Valencian Community, Women,Average,2009,"17.426,72"
Valencian Community, Women,Average,2008,"16.929,69"
Valencian Community, Women,Median,2021,"17.129,57"
Valencian Community, Women,Median,2020,"16.540,03"
Valencian Community, Women,Median,2019,"15.913,39"
Valencian Community, Women,Median,2018,"16.283,93"
Valencian Community, Women,Median,2017,"15.653,28"
Valencian Community, Women,Median,2016,"15.418,32"
Valencian Community, Women,Median,2015,"15.283,90"
Valencian Community, Women,Median,2014,"15.322,63"
Valencian Community, Women,Median,2013,"15.340,30"
Valencian Community, Women,Median,2012,"15.602,67"
Valencian Community, Women,Median,2011,"15.853,69"
Valencian Community, Women,Median,2010,"15.293,73"
Valencian Community, Women,Median,2009,"15.001,98"
Valencian Community, Women,Median,2008,"14.699,57"
Valencian Community,Men,Average,2021,"25.914,86"
Valencian Community,Men,Average,2020,"25.239,04"
Valencian Community,Men,Average,2019,"24.499,53"
Valencian Community,Men,Average,2018,"24.537,07"
Valencian Community,Men,Average,2017,"23.867,74"
Valencian Community,Men,Average,2016,"23.672,18"
Valencian Community,Men,Average,2015,"23.919,14"
Valencian Community,Men,Average,2014,"23.479,71"
Valencian Community,Men,Average,2013,"23.651,40"
Valencian Community,Men,Average,2012,"24.289,23"
Valencian Community,Men,Average,2011,"24.171,87"
Valencian Community,Men,Average,2010,"23.331,71"
Valencian Community,Men,Average,2009,"22.951,64"
Valencian Community,Men,Average,2008,"22.039,14"
Valencian Community,Men,Median,2021,"21.773,13"
Valencian Community,Men,Median,2020,"20.937,16"
Valencian Community,Men,Median,2019,"20.600,02"
Valencian Community,Men,Median,2018,"20.581,98"
Valencian Community,Men,Median,2017,"20.063,80"
Valencian Community,Men,Median,2016,"19.626,45"
Valencian Community,Men,Median,2015,"19.980,62"
Valencian Community,Men,Median,2014,"20.074,56"
Valencian Community,Men,Median,2013,"19.661,29"
Valencian Community,Men,Median,2012,"20.211,14"
Valencian Community,Men,Median,2011,"20.044,29"
Valencian Community,Men,Median,2010,"19.562,83"
Valencian Community,Men,Median,2009,"19.025,75"
Valencian Community,Men,Median,2008,"18.500,25"
Extremadura,Both genders,Average,2021,"21.393,01"
Extremadura,Both genders,Average,2020,"20.479,30"
Extremadura,Both genders,Average,2019,"19.940,68"
Extremadura,Both genders,Average,2018,"19.947,80"
Extremadura,Both genders,Average,2017,"19.672,40"
Extremadura,Both genders,Average,2016,"19.475,20"
Extremadura,Both genders,Average,2015,"19.564,49"
Extremadura,Both genders,Average,2014,"19.180,57"
Extremadura,Both genders,Average,2013,"19.129,72"
Extremadura,Both genders,Average,2012,"19.721,35"
Extremadura,Both genders,Average,2011,"19.879,46"
Extremadura,Both genders,Average,2010,"19.480,55"
Extremadura,Both genders,Average,2009,"19.099,56"
Extremadura,Both genders,Average,2008,"18.264,90"
Extremadura,Both genders,Median,2021,"18.146,41"
Extremadura,Both genders,Median,2020,"17.492,05"
Extremadura,Both genders,Median,2019,"17.110,33"
Extremadura,Both genders,Median,2018,"17.259,71"
Extremadura,Both genders,Median,2017,"17.166,32"
Extremadura,Both genders,Median,2016,"16.700,25"
Extremadura,Both genders,Median,2015,"16.836,63"
Extremadura,Both genders,Median,2014,"16.345,61"
Extremadura,Both genders,Median,2013,"16.635,96"
Extremadura,Both genders,Median,2012,"16.644,58"
Extremadura,Both genders,Median,2011,"16.805,45"
Extremadura,Both genders,Median,2010,"16.122,46"
Extremadura,Both genders,Median,2009,"16.300,34"
Extremadura,Both genders,Median,2008,"15.528,87"
Extremadura, Women,Average,2021,"19.833,03"
Extremadura, Women,Average,2020,"18.791,05"
Extremadura, Women,Average,2019,"18.012,58"
Extremadura, Women,Average,2018,"17.972,63"
Extremadura, Women,Average,2017,"17.722,29"
Extremadura, Women,Average,2016,"17.360,28"
Extremadura, Women,Average,2015,"17.304,65"
Extremadura, Women,Average,2014,"17.413,85"
Extremadura, Women,Average,2013,"16.304,55"
Extremadura, Women,Average,2012,"17.401,90"
Extremadura, Women,Average,2011,"18.060,80"
Extremadura, Women,Average,2010,"17.876,85"
Extremadura, Women,Average,2009,"17.549,86"
Extremadura, Women,Average,2008,"16.623,40"
Extremadura, Women,Median,2021,"16.008,34"
Extremadura, Women,Median,2020,"15.460,28"
Extremadura, Women,Median,2019,"14.741,57"
Extremadura, Women,Median,2018,"15.114,77"
Extremadura, Women,Median,2017,"14.998,80"
Extremadura, Women,Median,2016,"14.711,69"
Extremadura, Women,Median,2015,"14.602,48"
Extremadura, Women,Median,2014,"14.727,85"
Extremadura, Women,Median,2013,"14.377,08"
Extremadura, Women,Median,2012,"14.758,54"
Extremadura, Women,Median,2011,"15.212,82"
Extremadura, Women,Median,2010,"14.334,72"
Extremadura, Women,Median,2009,"15.103,10"
Extremadura, Women,Median,2008,"14.217,78"
Extremadura,Men,Average,2021,"22.794,52"
Extremadura,Men,Average,2020,"22.071,78"
Extremadura,Men,Average,2019,"21.823,73"
Extremadura,Men,Average,2018,"21.794,57"
Extremadura,Men,Average,2017,"21.585,18"
Extremadura,Men,Average,2016,"21.554,75"
Extremadura,Men,Average,2015,"21.813,81"
Extremadura,Men,Average,2014,"20.829,72"
Extremadura,Men,Average,2013,"21.780,90"
Extremadura,Men,Average,2012,"21.585,30"
Extremadura,Men,Average,2011,"21.318,32"
Extremadura,Men,Average,2010,"20.787,03"
Extremadura,Men,Average,2009,"20.207,93"
Extremadura,Men,Average,2008,"19.390,41"
Extremadura,Men,Median,2021,"18.859,72"
Extremadura,Men,Median,2020,"18.431,63"
Extremadura,Men,Median,2019,"18.367,82"
Extremadura,Men,Median,2018,"18.579,73"
Extremadura,Men,Median,2017,"18.366,85"
Extremadura,Men,Median,2016,"17.972,00"
Extremadura,Men,Median,2015,"18.150,31"
Extremadura,Men,Median,2014,"17.337,46"
Extremadura,Men,Median,2013,"17.656,86"
Extremadura,Men,Median,2012,"17.477,31"
Extremadura,Men,Median,2011,"17.606,86"
Extremadura,Men,Median,2010,"16.856,46"
Extremadura,Men,Median,2009,"16.710,36"
Extremadura,Men,Median,2008,"16.043,70"
Galicia,Both genders,Average,2021,"23.305,86"
Galicia,Both genders,Average,2020,"22.834,66"
Galicia,Both genders,Average,2019,"22.177,40"
Galicia,Both genders,Average,2018,"22.244,59"
Galicia,Both genders,Average,2017,"21.605,88"
Galicia,Both genders,Average,2016,"21.082,12"
Galicia,Both genders,Average,2015,"20.624,55"
Galicia,Both genders,Average,2014,"20.195,89"
Galicia,Both genders,Average,2013,"19.824,66"
Galicia,Both genders,Average,2012,"19.389,20"
Galicia,Both genders,Average,2011,"19.970,29"
Galicia,Both genders,Average,2010,"20.241,99"
Galicia,Both genders,Average,2009,"19.806,66"
Galicia,Both genders,Average,2008,"19.156,41"
Galicia,Both genders,Median,2021,"19.880,64"
Galicia,Both genders,Median,2020,"19.389,46"
Galicia,Both genders,Median,2019,"18.813,49"
Galicia,Both genders,Median,2018,"18.600,00"
Galicia,Both genders,Median,2017,"18.529,26"
Galicia,Both genders,Median,2016,"18.146,24"
Galicia,Both genders,Median,2015,"17.599,99"
Galicia,Both genders,Median,2014,"17.379,48"
Galicia,Both genders,Median,2013,"17.187,12"
Galicia,Both genders,Median,2012,"16.632,45"
Galicia,Both genders,Median,2011,"16.873,88"
Galicia,Both genders,Median,2010,"17.216,32"
Galicia,Both genders,Median,2009,"16.569,15"
Galicia,Both genders,Median,2008,"16.150,71"
Galicia, Women,Average,2021,"20.904,37"
Galicia, Women,Average,2020,"20.446,53"
Galicia, Women,Average,2019,"19.818,26"
Galicia, Women,Average,2018,"19.543,17"
Galicia, Women,Average,2017,"18.833,53"
Galicia, Women,Average,2016,"18.294,47"
Galicia, Women,Average,2015,"18.093,26"
Galicia, Women,Average,2014,"17.797,03"
Galicia, Women,Average,2013,"17.258,21"
Galicia, Women,Average,2012,"16.727,15"
Galicia, Women,Average,2011,"17.291,96"
Galicia, Women,Average,2010,"17.691,11"
Galicia, Women,Average,2009,"17.342,32"
Galicia, Women,Average,2008,"16.646,42"
Galicia, Women,Median,2021,"17.012,05"
Galicia, Women,Median,2020,"16.765,20"
Galicia, Women,Median,2019,"16.412,28"
Galicia, Women,Median,2018,"16.146,14"
Galicia, Women,Median,2017,"15.970,06"
Galicia, Women,Median,2016,"15.542,62"
Galicia, Women,Median,2015,"15.430,38"
Galicia, Women,Median,2014,"15.130,99"
Galicia, Women,Median,2013,"15.005,56"
Galicia, Women,Median,2012,"14.629,68"
Galicia, Women,Median,2011,"14.826,52"
Galicia, Women,Median,2010,"14.992,42"
Galicia, Women,Median,2009,"14.605,25"
Galicia, Women,Median,2008,"13.859,44"
Galicia,Men,Average,2021,"25.794,19"
Galicia,Men,Average,2020,"25.276,16"
Galicia,Men,Average,2019,"24.542,83"
Galicia,Men,Average,2018,"24.826,91"
Galicia,Men,Average,2017,"24.321,64"
Galicia,Men,Average,2016,"23.774,21"
Galicia,Men,Average,2015,"23.189,76"
Galicia,Men,Average,2014,"22.505,05"
Galicia,Men,Average,2013,"22.522,55"
Galicia,Men,Average,2012,"22.059,69"
Galicia,Men,Average,2011,"22.381,85"
Galicia,Men,Average,2010,"22.626,21"
Galicia,Men,Average,2009,"21.829,80"
Galicia,Men,Average,2008,"21.105,60"
Galicia,Men,Median,2021,"21.367,00"
Galicia,Men,Median,2020,"21.045,87"
Galicia,Men,Median,2019,"20.847,81"
Galicia,Men,Median,2018,"20.357,74"
Galicia,Men,Median,2017,"20.715,71"
Galicia,Men,Median,2016,"20.204,71"
Galicia,Men,Median,2015,"19.646,20"
Galicia,Men,Median,2014,"19.060,07"
Galicia,Men,Median,2013,"19.081,44"
Galicia,Men,Median,2012,"18.257,96"
Galicia,Men,Median,2011,"18.251,71"
Galicia,Men,Median,2010,"18.574,49"
Galicia,Men,Median,2009,"17.724,17"
Galicia,Men,Median,2008,"17.253,93"
Madrid,Both genders,Average,2021,"29.512,58"
Madrid,Both genders,Average,2020,"28.829,06"
Madrid,Both genders,Average,2019,"27.817,76"
Madrid,Both genders,Average,2018,"27.010,93"
Madrid,Both genders,Average,2017,"27.089,12"
Madrid,Both genders,Average,2016,"26.330,14"
Madrid,Both genders,Average,2015,"26.448,04"
Madrid,Both genders,Average,2014,"26.570,35"
Madrid,Both genders,Average,2013,"26.215,36"
Madrid,Both genders,Average,2012,"26.044,39"
Madrid,Both genders,Average,2011,"25.845,20"
Madrid,Both genders,Average,2010,"25.988,95"
Madrid,Both genders,Average,2009,"25.860,65"
Madrid,Both genders,Average,2008,"25.269,61"
Madrid,Both genders,Median,2021,"24.090,61"
Madrid,Both genders,Median,2020,"23.231,04"
Madrid,Both genders,Median,2019,"22.262,74"
Madrid,Both genders,Median,2018,"21.477,88"
Madrid,Both genders,Median,2017,"21.608,08"
Madrid,Both genders,Median,2016,"21.165,00"
Madrid,Both genders,Median,2015,"21.307,78"
Madrid,Both genders,Median,2014,"21.579,38"
Madrid,Both genders,Median,2013,"21.273,89"
Madrid,Both genders,Median,2012,"21.418,48"
Madrid,Both genders,Median,2011,"21.045,69"
Madrid,Both genders,Median,2010,"21.319,25"
Madrid,Both genders,Median,2009,"20.712,42"
Madrid,Both genders,Median,2008,"20.269,59"
Madrid, Women,Average,2021,"26.578,07"
Madrid, Women,Average,2020,"25.900,29"
Madrid, Women,Average,2019,"24.873,79"
Madrid, Women,Average,2018,"23.925,99"
Madrid, Women,Average,2017,"24.029,31"
Madrid, Women,Average,2016,"23.371,33"
Madrid, Women,Average,2015,"23.470,06"
Madrid, Women,Average,2014,"23.326,94"
Madrid, Women,Average,2013,"22.959,28"
Madrid, Women,Average,2012,"22.841,15"
Madrid, Women,Average,2011,"22.585,38"
Madrid, Women,Average,2010,"22.721,17"
Madrid, Women,Average,2009,"22.048,25"
Madrid, Women,Average,2008,"21.787,75"
Madrid, Women,Median,2021,"21.818,13"
Madrid, Women,Median,2020,"21.072,14"
Madrid, Women,Median,2019,"20.182,37"
Madrid, Women,Median,2018,"19.044,86"
Madrid, Women,Median,2017,"19.368,41"
Madrid, Women,Median,2016,"18.823,19"
Madrid, Women,Median,2015,"19.145,00"
Madrid, Women,Median,2014,"19.133,47"
Madrid, Women,Median,2013,"18.587,64"
Madrid, Women,Median,2012,"18.595,78"
Madrid, Women,Median,2011,"18.448,38"
Madrid, Women,Median,2010,"18.788,20"
Madrid, Women,Median,2009,"17.845,57"
Madrid, Women,Median,2008,"17.532,26"
Madrid,Men,Average,2021,"32.213,88"
Madrid,Men,Average,2020,"31.495,31"
Madrid,Men,Average,2019,"30.530,89"
Madrid,Men,Average,2018,"29.816,34"
Madrid,Men,Average,2017,"29.910,43"
Madrid,Men,Average,2016,"29.111,20"
